lead_id,deterministic_tier,llm_score,llm_rationale,score_divergence,scores_aligned
L1055,tier1,78,Head of ML at Stackline Software. Perfect decision-maker profile with trial spike and pricing page intent.,12,true
L2491,tier2,84,Head of Data Science at EvalHouse. High surging intent with ML hiring and competitor tool churn signals.,29,true
L2879,tier2,55,"Platform Engineer at RoboticsOne. Good technical fit, though intent score is currently low.",0,true
L1044,tier3,20,Recruiter at Loopware. Non-technical role.,0,true
L2478,tier3,25,MS Student at State University with opt-out and DNC flags.,5,true
L1123,tier2,75,"Director of Infrastructure at Cloudspan. Strong decision-maker title with trial and pricing page intent, though opt-out flags exist.",20,true
L1211,tier3,20,Freelancer at Northern University (.edu domain). Low intent and academic context.,0,true
L2328,tier2,68,"Applied Scientist at Voxel Dynamics. Solid technical fit with documentation and hiring signals, despite email opt-out.",13,true
L1412,tier3,5,"Healthcare company, missing job title, opted out of email, and DNC flag set. Low near-term potential.",15,true
L1898,tier3,85,"Although missing a title, Inferra Labs is surging with high intent, recent funding, and ML hiring signals.",65,false
L1644,tier3,15,"Undergraduate student at an educational institute. Low intent score, purely self-serve or academic profile.",5,true
L2396,tier3,25,CTO of a real estate firm. Unlikely to need core GPU infrastructure for AI training/serving at scale.,5,true
L1431,tier2,60,"Director of Infrastructure with pricing page visits, but marked as churned in HubSpot and company is missing/unverifiable.",5,true
L2135,tier3,30,"Technologist at an AI/ML startup with moderate intent, but marked as closed lost and churned in CRM.",10,true
L1027,tier3,10,CTO of a construction company with very low intent. Unlikely to be a qualified AI infrastructure buyer.,10,true
L1263,tier2,88,"Senior ML Engineer at an AI/ML company showing high intent, competitor churn signals, and trial spikes.",33,false
L1569,tier3,12,Indie hacker on an academic domain with low intent. Typical self-serve profile.,8,true
L1293,tier3,75,"Sales-qualified lead at an AI/ML software company with solid intent signals, despite missing job title.",55,false
L1567,tier2,82,Research Engineer at an AI/ML software company with high intent and competitor churn signals.,27,true
L1265,tier3,10,MS student using a freemail address. Low intent score and academic background.,10,true
L1242,tier3,40,"Undergraduate student, but high intent and surging signals indicate active research or project usage.",20,true
L1226,tier3,15,MS student using an iCloud freemail address with very low intent.,5,true
L1404,tier3,45,PhD student with high intent and surging competitor churn/trial signals. Potential bottom-up adopter.,25,true
L1607,tier3,35,"Head of MLOps at a travel company. Moderate intent, but industry is non-native AI/ML.",15,true
L2456,tier3,20,Fractional CTO at a bakery. Unlikely to be a serious buyer for high-end GPU clusters.,0,true
L1751,tier3,30,"Account Executive using a freemail address, despite high intent signals from the associated software company.",10,true
L1889,tier3,20,Marketing manager at an AI/ML software company using a freemail address. Non-technical buyer.,0,true
L1631,tier2,75,Software Engineer at an AI/ML software company with funding and infrastructure expansion signals.,20,true
L2628,tier2,80,"Data Scientist at an AI/ML software company with high intent, surging signals, and competitor churn.",25,true
L1506,tier2,65,SRE at an AI-adjacent company with low current intent but strong technical fit.,10,true
L2809,tier3,15,"Owner of a fitness studio. Despite high intent signals, the profile indicates spam or irrelevant vertical.",5,true
L1407,tier1,90,CTO at a large software company with good intent and an open deal in CRM. Prime sales target.,0,true
L1133,tier3,30,Operations manager at a small security systems company. High intent is likely anomalous or exploratory.,10,true
L1346,tier2,70,Data Scientist using a freemail address at a software company with high surging intent.,15,true
L1593,tier1,92,VP of Engineering at an AI/ML software company with strong intent and active working status in CRM.,2,true
L1588,tier2,78,Computer Vision Engineer at a software company with strong campaign engagement and technical relevance.,23,true
L1105,tier2,75,"Staff Engineer at an AI/ML company, though using a freemail address and showing low immediate intent.",20,true
L2659,tier3,10,Hobbyist at an academic institute with very low intent. Purely self-serve or exploratory.,10,true
L1469,tier3,12,Owner title with freemail address and low intent score. Company industry is empty and profile looks weak or non-technical.,8,true
L1254,tier3,5,Closed-lost lead with email opt-out and DNC flag set. Past campaign showed no response.,15,true
L2775,tier2,78,Data Scientist at an AI/ML software company showing medium intent with a competitor tool churn signal and expanded infrastructure footprint.,23,true
L1716,tier3,15,Recruiter title at a small AI company. Not a technical buyer or user for GPU infrastructure.,5,true
L2255,tier3,10,Enthusiast title at an educational institution. Low near-term commercial value.,10,true
L1117,tier1,95,"Head of Engineering at an AI/ML company with maximum intent (99), surging status, multiple positive signals including competitor churn and ML hiring.",5,true
L2319,tier3,25,"Indie hacker title at an educational/university domain. Medium intent score due to funding/pricing visits, but low immediate enterprise potential.",5,true
L1932,tier2,65,Software Engineer at a large software company with good intent signals around pricing and docs traffic.,10,true
L1047,tier2,70,"Director of Platform Engineering at a small AI/ML software company. Strong technical title, though intent is currently low.",15,true
L1306,tier2,62,SRE at an AI/ML software company showing a GPU usage trial spike. Highly relevant technical buyer.,7,true
L1446,tier2,82,"AI Engineer at a mid-sized AI software company with high intent (94), surging signals, and competitor tool churn indicators despite a past closed-lost status.",27,true
L1865,tier2,60,Applied Scientist at a small vision startup with medium intent and recent funding.,5,true
L2369,tier2,58,"VP Engineering with missing company details, but showing solid intent scores and GPU usage trial spikes.",3,true
L2400,tier3,10,Account Executive using a freemail address at a software company. Non-technical role.,10,true
L1303,tier3,5,HR Manager at an insurance company with explicit email opt-out and DNC flags.,15,true
L1859,tier3,10,Marketing Manager at a large software company. Non-technical lead.,10,true
L2431,tier3,15,Consultant with missing company information and low intent signals.,5,true
L2916,tier1,90,"Head of ML at Inferra Labs. Existing customer with an open deal in HubSpot, strong technical role and good intent.",0,true
L1766,tier2,65,Staff Engineer at Codewharf. Solid technical IC profile in a software company.,10,true
L1405,tier3,30,"AI Engineer, but employed at a landscaping/services company. Unlikely to have core AI infrastructure workloads.",10,true
L2912,tier3,45,Indie hacker at an academic institution with high intent and surging GPU usage. Academic domain lowers enterprise score despite high intent.,25,true
L2126,tier2,55,"CTO title at AgentStack, but company and firmographic data are largely missing or unverifiable.",0,true
L2076,tier3,15,Product Marketing Manager using freemail at a travel company. Non-technical lead despite past campaign engagement.,5,true
L1740,tier2,80,"Research Engineer at Copilot Health AI with high surging intent, GPU trial spike, and pricing page visits. Freemail is offset by strong intent.",25,true
L1620,tier1,88,Head of Platform at DataBarn. Existing customer/contact who is a key decision-maker in a software company with solid intent.,2,true
L2812,tier2,70,AI Engineer at TensorLoop showing a GPU usage trial spike and active pipeline status.,15,true
L1666,tier3,20,"Social Media Manager at a software company. Non-technical lead, though intent signals are medium.",0,true
L2292,tier3,50,Indie hacker at an institute of technology with 100 intent and surging metrics. Academic domain dampens commercial priority.,30,true
L2074,tier2,75,"Research Engineer at Finetune Labs with maximum intent and surging traffic, though flagged with email opt-out in HubSpot.",20,true
L1919,tier2,85,"VP Engineering at Vectorly AI with high surging intent, pricing page visits, and ML hiring signals.",30,true
L2113,tier3,15,Real estate company with low intent and non-technical role despite a GPU usage trial spike. Unlikely to be a high-value cloud infra buyer.,5,true
L1982,tier2,65,NLP Engineer at a large software firm with good internal intent score. Strong profile for developer-led growth.,10,true
L2883,tier3,20,Social media manager at an AI/ML company. Non-technical role with minimal intent signals.,0,true
L2351,tier2,75,"Software engineer with high surging intent, pricing page visits, and ML hiring signals, despite missing company details.",20,true
L2280,tier3,40,"Account executive showing medium intent, expanded infrastructure footprint, and competitor tool churn signals, offering some product-led potential.",20,true
L1409,tier2,55,AI engineer using a freemail address at an AI software company. Strong technical fit but potential identity verification issues.,0,true
L1687,tier2,50,Applied scientist at a very small AI startup. Highly relevant technical role but very low intent score.,5,true
L1561,tier2,60,"NLP engineer at an AI software firm with a GPU usage trial spike, representing a solid product-led opportunity.",5,true
L1243,tier2,70,Backend engineer with an open opportunity in Salesforce and past campaign interactions at a software company.,15,true
L2750,tier3,5,Academic graduate student at an educational institution domain with negligible intent. Poor fit for enterprise cloud sales.,15,true
L2318,tier2,85,"NLP engineer with very high surging intent, pricing page visits, ML hiring signals, and active campaign engagement.",30,true
L2071,tier2,60,"Software engineer with medium intent, pricing page views, and trial spike signals, using a freemail address.",5,true
L2668,tier3,25,HR manager at an AI startup. Non-technical role despite company focus on AI/ML.,5,true
L1783,tier3,30,"AI engineer at a dental group. Technical title, but company is completely outside the software/AI sector.",10,true
L1261,tier2,65,"SRE with an open deal in HubSpot at an AI company, showing good technical relevance.",10,true
L1039,tier2,45,"Deep learning engineer with a DNC flag, email opt-out, and low intent score. High risk for direct sales outreach.",10,true
L2520,tier2,70,"DevOps engineer showing medium intent, competitor tool churn signals, and increased docs traffic.",15,true
L2425,tier3,25,Technologist title at an AI company with very low intent and funding signals only.,5,true
L2340,tier3,10,Sales development rep at a real estate firm with an email opt-out and DNC flag. Pure spam/unqualified.,10,true
L2645,tier2,65,Deep learning engineer at an AI software company with active intent signals and in-progress CRM status.,10,true
L1702,tier1,80,VP of AI Infrastructure at an AI/ML software company. Premium decision-maker title with ideal infrastructure alignment.,10,true
L1088,tier3,5,Missing job title at a landscaping company with low intent. Clear spam or mismatched lead.,15,true
L2640,tier3,30,Customer success manager at an AI startup. Non-technical role despite being in the correct industry.,10,true
L1249,tier1,85,Head of Engineering at an AI/ML software company with strong campaign response and trial spike signals.,5,true
L1339,tier1,80,"VP of Engineering at an AI software company who is already an existing customer, though currently opted out of email.",10,true
L2914,tier3,35,"Managing partner at a tiny fintech/AI lab. Decision-maker title, but low intent and sparse firmographics.",15,true
L1594,tier3,20,Account executive at an AI firm. Non-technical role with minimal intent.,0,true
L2116,tier2,75,"Senior software engineer with high surging intent, ML hiring signals, and competitor tool churn indicators.",20,true
L1145,tier2,50,"NLP engineer at a robotics/AI company. Technical fit is strong, but CRM notes show closed-lost status despite medium intent.",5,true
L1452,tier2,75,Head of MLOps at a small AI software startup with trial spike signals. Extremely strong target profile.,20,true
L1706,tier2,25,"Despite the CTO title, the company appears to be a nail salon which is irrelevant for GPU infrastructure sales, indicating low near-term utility.",30,true
L1553,tier3,10,Recruiter at a small bakery with minimal intent signals. Very unlikely to purchase GPU infrastructure.,10,true
L2271,tier2,40,"Technical role with some pricing page engagement, but intent score is very low and CRM marks them as unqualified lead.",15,true
L2479,tier2,90,Deep learning engineer at an AI/ML company showing very high surging intent with pricing page and documentation traffic. Prime sales opportunity.,35,false
L1981,tier2,85,"AI engineer with high surging intent, expanding infra footprint and high documentation traffic. Excellent product-led growth target despite missing company name.",30,true
L1124,tier3,20,"Marketing manager role is non-technical, though they have low engagement with docs. Should remain in nurture or self-serve.",0,true
L2268,tier2,65,VP of engineering at a large enterprise showing GPU usage trial spikes and doc traffic. Strong candidate for sales queue despite unverifiable company details.,10,true
L1455,tier2,55,AI engineer at a software company with moderate intent. Good self-serve or nurture candidate.,0,true
L1216,tier2,88,Research engineer at a software company with high surging intent and increasing documentation traffic.,33,false
L1818,tier2,75,Software engineer with high surging intent and recent funding round. Good near-term opportunity.,20,true
L1381,tier2,45,"Computer vision engineer indicates good technical fit, but lack of company data and low intent limits near-term score.",10,true
L2742,tier2,60,Software engineer using a freemail address with competitor churn signals and pricing page visits. Decent potential but requires verification.,5,true
L2194,tier2,65,NLP engineer at a software company with recent funding and competitor churn signal. Solid near-term opportunity.,10,true
L1143,tier2,80,"Computer vision engineer with high surging intent and hiring signals, though using a freemail address.",25,true
L1849,tier2,50,Senior ML engineer with moderate internal intent score. Good fit for nurture or self-serve.,5,true
L2156,tier3,15,Enthusiast title with an academic/edu domain indicator. Low commercial intent for sales.,5,true
L2115,tier1,92,"Head of MLOps at an AI/ML company with high surging intent, trial spikes, and competitor churn signals. Excellent enterprise sales candidate.",2,true
L2332,tier3,30,Indie hacker title at a small non-technical company. Better suited for self-serve than sales queue.,10,true
L2446,tier2,40,Software engineer who is already an existing customer but has email opt-out and DNC flags set. Should be handled with care.,15,true
L1869,tier2,85,"Founder with high surging intent, trial spikes, and open opportunities in CRM, despite previous lack of campaign response and opt-out flags.",30,true
L1092,tier3,25,Operations manager in an AI/ML company with very low intent. Unlikely to be a decision maker for infrastructure.,5,true
L1014,suppress,0,ML engineer at a known competitor cloud provider domain. Must be suppressed immediately.,,true
L1403,tier2,55,DevOps engineer at an AI/ML company with competitor churn signal. Good technical fit for self-serve or nurture.,0,true
L1846,tier3,20,Customer success manager is a non-technical role with low intent score. Appropriate for self-serve/nurture tier.,0,true
L2272,tier3,15,Sales development rep at a landscaping company with email opt-out and DNC flags. Clearly not a target buyer.,5,true
L1743,tier3,15,HR manager is a non-technical role despite having engaged with past campaigns. Not suitable for sales queue.,5,true
L2439,tier3,10,Postdoc at an educational institution with an edu domain and DNC flag. Low commercial viability.,10,true
L1598,tier2,65,Deep learning engineer at a software company with hiring signals and expanding infrastructure footprint. Good near-term opportunity.,10,true
L1257,tier3,20,Financial analyst in a software company using a freemail address with very low intent. Non-technical role.,0,true
L1995,tier2,75,Chief AI Officer at a large entity with a recent funding round. Strong executive decision-maker potential despite missing company details.,20,true
L2175,tier3,25,"Customer Success Manager in Software with medium intent and competitor churn signal, but non-technical role reduces near-term product-led growth potential for GPU infra.",5,true
L1363,tier2,45,"Independent consultant using freemail with a GPU usage trial spike and historical engagement, but consulting status implies lower infrastructure scale.",10,true
L1971,tier2,60,Software Engineer at an AI/ML software company with moderate internal intent score.,5,true
L1106,tier3,10,HR Manager in software with low intent score.,10,true
L1509,tier3,15,PhD Student using Gmail and low intent score.,5,true
L1191,tier2,50,"Research Scientist at an AI/ML software company, but marked as churned in HubSpot CRM.",5,true
L2726,tier3,20,"Student with high surging intent signals, but academic/student profile limits enterprise sales potential.",0,true
L2755,tier2,30,"Infrastructure Engineer at an AI/ML company using freemail, but marked as Closed Lost and low intent.",25,true
L1815,tier3,20,"HR Manager with medium intent and pricing page visits, but non-technical role.",0,true
L2903,tier2,85,Research Engineer in Software with very high surging intent and recent funding round.,30,true
L2828,tier2,50,"AI Engineer at a large software company, though current intent score is low.",5,true
L2082,tier2,75,MLOps Engineer at an AI/ML company with high surging intent and pricing page visits.,20,true
L2257,tier2,65,"Director of Infrastructure with medium intent and recent funding round, ideal decision-maker profile.",10,true
L1720,tier3,15,Business Analyst in a small software firm with low intent.,5,true
L1373,tier2,55,Senior Software Engineer at an AI/ML software company.,0,true
L2696,tier3,20,Student from a polytechnic institute with high intent; likely using trial resources for education/research rather than production.,0,true
L1795,tier2,80,Consultant at a surging AI/ML company with very high intent and competitor churn signals.,25,true
L1916,tier2,70,Sr. Data Scientist at a small model-focused company with strong ML hiring and footprint expansion signals.,15,true
L2414,tier1,85,Director of Infrastructure at a mid-sized software company with open deal status and competitor churn signals.,5,true
L2429,tier3,25,"Operations Manager in AI/ML software using freemail, marked as closed lost.",5,true
L2219,tier2,80,"SWE at a large company with high surging intent, trial spikes, and campaign engagement.",25,true
L2109,tier3,20,"Accountant at a software company with high intent, but non-technical role makes GPU infra purchase unlikely.",0,true
L1998,tier1,90,"Head of AI at a software company with surging intent, recent funding, and ML hiring.",0,true
L2475,tier2,70,Software engineer at an AI/ML software company with high surging intent and docs traffic.,15,true
L1152,tier2,65,"Director of Infrastructure with medium intent and surging signals, decision-maker seniority.",10,true
L1723,tier2,50,SWE at an AI/ML company using freemail with low intent score.,5,true
L1876,tier3,40,"MS student working at an AI/ML company, but has opted out of emails and has DNC flags.",20,true
L2137,tier3,10,Marketing Manager in real estate with low intent.,10,true
L2748,tier2,75,"Head of Data Science with competitor churn signals and high engagement, despite past closed-lost status.",20,true
L1792,tier2,60,MLOps Engineer at a software company with hiring signals for ML roles.,5,true
L2164,tier2,48,"Senior ML Engineer at a large company with a GPU usage trial spike, showing technical relevance despite missing industry details.",7,true
L1902,tier2,55,Senior Software Engineer with a competitor churn signal and campaign response history indicating active evaluation.,0,true
L1218,tier3,12,Non-technical CSM role in a traditional construction industry company with low intent.,8,true
L2692,tier3,5,Missing title and company make this an unqualifiable lead with virtually no useful signals.,15,true
L1901,tier3,40,"Consultant at a non-technical company, but shows high intent surge and an open deal in HubSpot.",20,true
L1299,tier2,65,Applied Scientist at an AI/ML software company with a GPU usage trial spike.,10,true
L1848,tier3,20,"Project Manager at a nail salon despite high intent, though opted out of email and flagged in CRM.",0,true
L2167,tier3,,,,true
L1118,tier3,22,"Business Analyst using freemail, showing some campaign response but overall non-technical.",2,true
L1761,tier3,18,Social Media Manager in a fitness studio despite high account intent.,2,true
L2770,tier2,64,Machine Learning Engineer at a software company with competitor churn and infra expansion signals.,9,true
L2829,tier3,10,Hobbyist at an academic institution with email opt-out and DNC flags.,10,true
L2766,tier2,58,SRE at AgentStack; technical IC in an AI/ML software company.,3,true
L2687,tier2,50,Advisor at an AI/ML software company with strong account intent despite unresponsive campaign history.,5,true
L1547,tier3,15,Freelancer at a university with moderate intent but an academic domain.,5,true
L2173,suppress,5,"Staff Engineer at a competitor domain, correctly suppressed.",,true
L1946,tier2,60,Platform Engineer at an AI/ML software company with a GPU usage trial spike.,5,true
L1533,tier3,45,"VP of Engineering at an automotive company with increased doc traffic, but has an email opt-out and DNC flag.",25,true
L1879,tier3,8,Hobbyist using a freemail address with low intent.,12,true
L2623,tier3,15,Operations Manager at an automotive company with low intent.,5,true
L2571,tier2,70,CTO at a small AI/ML software company showing increased docs traffic.,15,true
L1085,tier3,50,"Missing job title at a large existing company, but shows high intent and a surging GPU usage trial spike.",30,true
L2870,tier2,68,"Research Scientist with an open opportunity and multiple campaign responses, despite using freemail.",13,true
L2131,tier1,85,Co-founder at a mid-sized AI/ML software company with strong intent signals and infrastructure expansion.,5,true
L2625,tier2,62,Applied Scientist at an AI/ML software company with trial and documentation engagement.,7,true
L2676,tier2,72,SVP Engineering at an AI/ML related company with a recent funding round.,17,true
L2457,tier2,75,Head of ML at an existing customer or converted contact showing high-value stakeholder potential.,20,true
L1670,tier1,88,"Director of Infrastructure at an AI/ML software company with high intent, surging trials, and infra footprint expansion.",2,true
L1899,tier3,25,"Executive Assistant at an AI/ML company; high intent belongs to the account, but the individual role is non-technical.",5,true
L2617,tier3,10,Content Writer at an AI/ML software company; low intent and non-technical role.,10,true
L2313,tier2,75,Staff Engineer at an AI/ML software company showing active GPU trial usage and docs traffic. Strong near-term PLG and technical fit.,20,true
L2415,tier3,80,"Very high internal intent score (95) from a large company. Missing job title is a minor data gap, but intent outweighs it.",60,false
L2359,tier3,25,Academic domain and freelancer title reduce commercial viability despite trial usage spike and docs engagement.,5,true
L1695,tier1,85,Head of AI at a software company with strong decision-making seniority and active trial usage. Excellent tier 1 candidate.,5,true
L1292,tier3,10,"Freemail address, missing job title, unresolved identity, and near-zero intent suggest low-quality or spam lead.",10,true
L2193,tier3,20,"Freelancer at an academic institution with moderate intent, but poor commercial monetization potential.",0,true
L2128,tier2,70,Software engineer at an AI/ML software company showing high pricing page and docs engagement. Solid PLG profile.,15,true
L2002,tier2,82,Head of AI at an AI/ML software company with GPU usage trial spikes. High conversion potential.,27,true
L1519,tier2,72,Staff engineer at a software company actively hiring for ML roles with moderate intent. Good technical champion.,17,true
L2488,tier3,30,"Account Executive is a non-technical role, limiting direct infrastructure buying power despite moderate intent.",10,true
L1019,tier3,40,"Missing job title makes role seniority unclear, though firmographics and pricing visits indicate mild interest.",20,true
L2421,tier3,50,"Recruiter role at a surging AI/ML company with competitor churn signal. Useful for intelligence on hiring, but weak direct buyer.",30,true
L1987,tier2,65,"CTO title indicates strong buying power, though current intent signals are low. Worth nurturing.",10,true
L1434,tier1,92,"Director of ML with surging intent, competitor churn signals, and expanded infrastructure footprint. Prime tier 1 sales target.",2,true
L2391,tier2,60,"Platform engineer with trial usage spike. Good technical fit, but company and industry data are sparse.",5,true
L1623,tier3,15,Executive assistant is a non-technical administrative role with low intent. Unlikely to be a buyer.,5,true
L1032,tier2,68,Research engineer at a large software company showing trial spike. Strong technical fit for AI workloads.,13,true
