lead_id,deterministic_tier,routing_decision,needs_review,review_reasons
L1889,tier3,self_serve_newsletter,false,
L1631,tier2,nurture,false,
L2628,tier2,nurture,false,
L1506,tier2,human_review,true,technical IC title but company/industry unverifiable
L2809,tier3,self_serve_newsletter,false,
L1407,tier1,sales_queue,false,
L1133,tier3,self_serve_newsletter,false,
L1346,tier2,human_review,true,technical IC title but company/industry unverifiable
L1593,tier1,sales_queue,false,
L1588,tier2,nurture,false,
L1105,tier2,nurture,false,
L2659,tier3,self_serve_newsletter,false,
L1469,tier3,self_serve_newsletter,false,
L1254,tier3,human_review,true,missing job title
L2775,tier2,nurture,false,
L1716,tier3,self_serve_newsletter,false,
L2255,tier3,self_serve_newsletter,false,
L1117,tier1,sales_queue,false,
L2319,tier3,self_serve_newsletter,false,
L1932,tier2,nurture,false,
L1047,tier2,nurture,false,
L1306,tier2,nurture,false,
L1446,tier2,nurture,false,
L1865,tier2,human_review,true,technical IC title but company/industry unverifiable
L2369,tier2,human_review,true,technical IC title but company/industry unverifiable
L2400,tier3,self_serve_newsletter,false,
L1303,tier3,self_serve_newsletter,false,
L1859,tier3,self_serve_newsletter,false,
L2431,tier3,self_serve_newsletter,false,
L2916,tier1,human_review,true,Duplicate record with conflicting fields
L1766,tier2,nurture,false,
L1405,tier3,self_serve_newsletter,false,
L2912,tier3,self_serve_newsletter,false,
L2126,tier2,human_review,true,decision-maker title but company missing or unverifiable | Duplicate record with conflicting fields
L2076,tier3,self_serve_newsletter,false,
L1740,tier2,human_review,true,technical IC title but company/industry unverifiable
L1620,tier1,sales_queue,false,
L2812,tier2,nurture,false,
L1666,tier3,self_serve_newsletter,false,
L2292,tier3,human_review,true,EU / Consent Verification Needed
L2074,tier2,nurture,false,
L1919,tier2,nurture,false,
L2113,tier3,self_serve_newsletter,false,
L1982,tier2,human_review,true,EU / Consent Verification Needed
L2883,tier3,self_serve_newsletter,false,
L2351,tier2,human_review,true,technical IC title but company/industry unverifiable
L2280,tier3,self_serve_newsletter,false,
L1409,tier2,nurture,false,
L1687,tier2,nurture,false,
L1561,tier2,nurture,false,
L1243,tier2,nurture,false,
L2750,tier3,self_serve_newsletter,false,
L2318,tier2,human_review,true,technical IC title but company/industry unverifiable
L2071,tier2,nurture,false,
L2668,tier3,self_serve_newsletter,false,
L1783,tier3,self_serve_newsletter,false,
L1261,tier2,human_review,true,technical IC title but company/industry unverifiable
L1039,tier2,human_review,true,technical IC title but company/industry unverifiable
L2520,tier2,nurture,false,
L2425,tier3,human_review,true,EU / Consent Verification Needed
L2340,tier3,self_serve_newsletter,false,
L2645,tier2,nurture,false,
L1702,tier1,sales_queue,false,
L1088,tier3,human_review,true,missing job title
L2640,tier3,self_serve_newsletter,false,
L1249,tier1,sales_queue,false,
L1339,tier1,sales_queue,false,
L2914,tier3,human_review,true,Duplicate record with conflicting fields
L1594,tier3,self_serve_newsletter,false,
L2116,tier2,human_review,true,technical IC title but company/industry unverifiable
L1145,tier2,nurture,false,
L1452,tier2,nurture,false,
L1706,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1553,tier3,self_serve_newsletter,false,
L2271,tier2,human_review,true,technical IC title but company/industry unverifiable
L2479,tier2,human_review,true,Score divergence: deterministic vs. probabilistic
L1981,tier2,human_review,true,technical IC title but company/industry unverifiable
L1124,tier3,self_serve_newsletter,false,
L2268,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1455,tier2,nurture,false,
L1216,tier2,human_review,true,Score divergence: deterministic vs. probabilistic
L1818,tier2,nurture,false,
L1381,tier2,human_review,true,technical IC title but company/industry unverifiable
L2742,tier2,nurture,false,
L2194,tier2,nurture,false,
L1143,tier2,nurture,false,
L1849,tier2,nurture,false,
L2156,tier3,self_serve_newsletter,false,
L2115,tier1,sales_queue,false,
L2332,tier3,self_serve_newsletter,false,
L2446,tier2,nurture,false,
L1869,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1092,tier3,self_serve_newsletter,false,
L1014,suppress,suppressed,false,
L1403,tier2,nurture,false,
L1846,tier3,self_serve_newsletter,false,
L2272,tier3,self_serve_newsletter,false,
L1743,tier3,self_serve_newsletter,false,
L2439,tier3,self_serve_newsletter,false,
L1598,tier2,nurture,false,
L1257,tier3,self_serve_newsletter,false,
L1995,tier2,human_review,true,decision-maker title but company missing or unverifiable
L2175,tier3,self_serve_newsletter,false,
L1363,tier2,human_review,true,ambiguous title defaults to Tier 2 for human review
L1971,tier2,nurture,false,
L1106,tier3,self_serve_newsletter,false,
L1509,tier3,self_serve_newsletter,false,
L1191,tier2,nurture,false,
L2726,tier3,self_serve_newsletter,false,
L2755,tier2,nurture,false,
L1815,tier3,self_serve_newsletter,false,
L2903,tier2,nurture,false,
L2828,tier2,nurture,false,
L2082,tier2,nurture,false,
L2257,tier2,human_review,true,"decision-maker title, technical company, but company size unverifiable"
L1720,tier3,self_serve_newsletter,false,
L1373,tier2,nurture,false,
L2696,tier3,self_serve_newsletter,false,
L1795,tier2,human_review,true,ambiguous title defaults to Tier 2 for human review
L1916,tier2,human_review,true,technical IC title but company/industry unverifiable
L2414,tier1,sales_queue,false,
L2429,tier3,self_serve_newsletter,false,
L2219,tier2,nurture,false,
L2109,tier3,self_serve_newsletter,false,
L1998,tier1,sales_queue,false,
L2475,tier2,nurture,false,
L1152,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1723,tier2,nurture,false,
L1876,tier3,self_serve_newsletter,false,
L2137,tier3,self_serve_newsletter,false,
L2748,tier2,human_review,true,"decision-maker title, technical company, but company size unverifiable"
L1792,tier2,nurture,false,
L2164,tier2,human_review,true,technical IC title but company/industry unverifiable
L1902,tier2,human_review,true,technical IC title but company/industry unverifiable
L1218,tier3,self_serve_newsletter,false,
L2692,tier3,human_review,true,missing job title
L1901,tier3,self_serve_newsletter,false,
L1299,tier2,nurture,false,
L1848,tier3,self_serve_newsletter,false,
L2167,tier3,self_serve_newsletter,false,
L1118,tier3,self_serve_newsletter,false,
L1761,tier3,self_serve_newsletter,false,
L2770,tier2,nurture,false,
L2829,tier3,self_serve_newsletter,false,
L2766,tier2,nurture,false,
L2687,tier2,human_review,true,ambiguous title defaults to Tier 2 for human review
L1547,tier3,self_serve_newsletter,false,
L2173,suppress,suppressed,false,
L1946,tier2,nurture,false,
L1533,tier3,self_serve_newsletter,false,
L1879,tier3,self_serve_newsletter,false,
L2623,tier3,self_serve_newsletter,false,
L2571,tier2,nurture,false,
L1085,tier3,human_review,true,missing job title
L2870,tier2,human_review,true,Duplicate record with conflicting fields
L2131,tier1,sales_queue,false,
L2625,tier2,nurture,false,
L2676,tier2,human_review,true,decision-maker title but company missing or unverifiable
L2457,tier2,human_review,true,"decision-maker title, technical company, but company size unverifiable"
L1670,tier1,sales_queue,false,
L1899,tier3,self_serve_newsletter,false,
L2617,tier3,self_serve_newsletter,false,
L2313,tier2,nurture,false,
L2415,tier3,human_review,true,missing job title | Score divergence: deterministic vs. probabilistic
L2359,tier3,self_serve_newsletter,false,
L1695,tier1,sales_queue,false,
L1292,tier3,human_review,true,missing job title
L2193,tier3,self_serve_newsletter,false,
L2128,tier2,nurture,false,
L2002,tier2,human_review,true,"decision-maker title, technical company, but company size unverifiable"
L1519,tier2,nurture,false,
L2488,tier3,self_serve_newsletter,false,
L1019,tier3,human_review,true,missing job title
L2421,tier3,self_serve_newsletter,false,
L1987,tier2,human_review,true,"EU / Consent Verification Needed | decision-maker title, technical company, but company size unverifiable"
L1434,tier1,human_review,true,Duplicate record with conflicting fields
L2391,tier2,human_review,true,technical IC title but company/industry unverifiable
L1623,tier3,self_serve_newsletter,false,
L1032,tier2,nurture,false,
L1945,tier2,human_review,true,decision-maker title but company missing or unverifiable
L2069,tier2,human_review,true,decision-maker title but company missing or unverifiable
L2716,tier1,sales_queue,false,
L2465,tier3,self_serve_newsletter,false,
L2286,tier2,human_review,true,ambiguous title defaults to Tier 2 for human review
L1062,tier2,human_review,true,EU / Consent Verification Needed | decision-maker title but company missing or unverifiable
L1948,tier2,human_review,true,decision-maker title but company missing or unverifiable
L2641,tier3,self_serve_newsletter,false,
L2153,tier3,self_serve_newsletter,false,
L1675,tier3,self_serve_newsletter,false,
L2288,tier2,human_review,true,technical IC title but company/industry unverifiable
L2622,tier2,nurture,false,
L1308,tier3,human_review,true,EU / Consent Verification Needed | missing job title
L1572,tier3,self_serve_newsletter,false,
L2584,tier3,self_serve_newsletter,false,
L1518,tier2,human_review,true,technical IC title but company/industry unverifiable
L2693,tier3,self_serve_newsletter,false,
L1020,tier2,human_review,true,Score divergence: deterministic vs. probabilistic
L1173,tier3,self_serve_newsletter,false,
L1208,tier3,self_serve_newsletter,false,
L1713,tier3,self_serve_newsletter,false,
L2681,tier1,sales_queue,false,
L2174,tier2,nurture,false,
L1355,tier2,human_review,true,Score divergence: deterministic vs. probabilistic
L2658,tier3,self_serve_newsletter,false,
L2253,tier3,self_serve_newsletter,false,
L1375,tier3,self_serve_newsletter,false,
L2352,tier2,nurture,false,
L1496,tier3,self_serve_newsletter,false,
L1847,tier2,nurture,false,
L2602,tier2,nurture,false,
L1941,tier2,human_review,true,decision-maker title but company missing or unverifiable
L2315,tier3,human_review,true,EU / Consent Verification Needed
L1753,tier2,human_review,true,decision-maker title but company missing or unverifiable
L2525,tier2,human_review,true,"decision-maker title, technical company, but company size unverifiable"
L1940,tier2,human_review,true,technical IC title but company/industry unverifiable
L2404,tier1,sales_queue,false,
L2008,tier1,sales_queue,false,
L1529,tier2,human_review,true,"decision-maker title, technical company, but company size unverifiable"
L1621,tier3,self_serve_newsletter,false,
L1711,tier3,self_serve_newsletter,false,
L1046,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1776,tier2,human_review,true,"decision-maker title, technical company, but company size unverifiable"
L2058,tier3,self_serve_newsletter,false,
L1920,tier3,self_serve_newsletter,false,
L2760,tier3,self_serve_newsletter,false,
L1234,tier2,human_review,true,Score divergence: deterministic vs. probabilistic
L1922,tier3,human_review,true,Score divergence: deterministic vs. probabilistic
L2102,tier3,human_review,true,missing job title | Score divergence: deterministic vs. probabilistic
L2061,tier2,nurture,false,
L1038,tier3,self_serve_newsletter,false,
L1204,tier3,human_review,true,EU / Consent Verification Needed
L2346,tier3,self_serve_newsletter,false,
L1453,tier2,nurture,false,
L2334,tier3,human_review,true,missing job title | Score divergence: deterministic vs. probabilistic
L2632,tier2,human_review,true,"decision-maker title, technical company, but company size unverifiable | Score divergence: deterministic vs. probabilistic"
L1960,tier3,human_review,true,missing job title
L1001,tier2,human_review,true,technical IC title but company/industry unverifiable
L1755,tier2,human_review,true,technical IC title but company/industry unverifiable
L1532,tier3,self_serve_newsletter,false,
L1359,tier3,human_review,true,missing job title
L1114,tier2,human_review,true,ambiguous title defaults to Tier 2 for human review
L1548,tier3,self_serve_newsletter,false,
L2581,tier2,human_review,true,technical IC title but company/industry unverifiable
L2146,tier1,sales_queue,false,
L2377,tier3,human_review,true,missing job title | Score divergence: deterministic vs. probabilistic
L1310,tier3,self_serve_newsletter,false,
L2051,tier2,human_review,true,decision-maker title but company missing or unverifiable
L2037,tier3,self_serve_newsletter,false,
L2311,tier3,self_serve_newsletter,false,
L2090,tier2,human_review,true,technical IC title but company/industry unverifiable
L1737,tier3,human_review,true,missing job title
L2118,tier1,sales_queue,false,
L1269,tier2,human_review,true,EU / Consent Verification Needed | Score divergence: deterministic vs. probabilistic
L1068,tier3,human_review,true,Score divergence: deterministic vs. probabilistic
L1083,tier2,nurture,false,
L1605,tier3,human_review,true,Score divergence: deterministic vs. probabilistic
L1214,tier3,self_serve_newsletter,false,
L1550,tier3,self_serve_newsletter,false,
L1656,tier3,self_serve_newsletter,false,
L2149,tier3,human_review,true,EU / Consent Verification Needed
L2836,tier2,human_review,true,EU / Consent Verification Needed | decision-maker title but company missing or unverifiable
L2892,tier3,human_review,true,Duplicate record with conflicting fields
L1992,tier2,human_review,true,technical IC title but company/industry unverifiable
L1821,tier3,self_serve_newsletter,false,
L2618,tier3,human_review,true,missing job title
L1635,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1441,tier2,nurture,false,
L2620,tier2,human_review,true,ambiguous title defaults to Tier 2 for human review
L2724,tier3,human_review,true,EU / Consent Verification Needed
L1284,tier2,human_review,true,technical IC title but company/industry unverifiable
L1717,tier2,nurture,false,
L1636,tier3,human_review,true,missing job title | Score divergence: deterministic vs. probabilistic
L2144,tier3,human_review,true,EU / Consent Verification Needed
L2331,tier3,self_serve_newsletter,false,
L2294,tier2,human_review,true,Score divergence: deterministic vs. probabilistic
L2270,tier3,human_review,true,missing job title
L1500,tier1,sales_queue,false,
L2913,tier3,self_serve_newsletter,false,
L1864,tier3,human_review,true,Score divergence: deterministic vs. probabilistic
L2342,tier2,human_review,true,technical IC title but company/industry unverifiable
L1575,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1330,tier2,human_review,true,technical IC title but company/industry unverifiable
L2034,tier2,nurture,false,
L2388,tier2,human_review,true,ambiguous title defaults to Tier 2 for human review
L1983,tier2,nurture,false,
L1016,tier3,self_serve_newsletter,false,
L1374,tier2,nurture,false,
L2639,tier2,human_review,true,technical IC title but company/industry unverifiable
L2514,tier3,human_review,true,missing job title | Score divergence: deterministic vs. probabilistic
L1332,tier3,self_serve_newsletter,false,
L2281,tier3,human_review,true,missing job title
L1322,tier2,nurture,false,
L1794,tier3,human_review,true,missing job title
L2860,tier2,human_review,true,technical IC title but company/industry unverifiable | Duplicate record with conflicting fields
L2029,tier3,human_review,true,EU / Consent Verification Needed
L2777,tier3,self_serve_newsletter,false,
L1425,tier3,self_serve_newsletter,false,
L1688,tier2,human_review,true,technical IC title but company/industry unverifiable
L1836,tier2,human_review,true,technical IC title but company/industry unverifiable
L1683,tier2,human_review,true,technical IC title but company/industry unverifiable
L1856,tier3,self_serve_newsletter,false,
L2857,tier2,human_review,true,decision-maker title but company missing or unverifiable | Duplicate record with conflicting fields
L1256,tier1,sales_queue,false,
L2190,tier2,nurture,false,
L1149,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1508,tier3,self_serve_newsletter,false,
L2181,tier3,self_serve_newsletter,false,
L1472,tier3,self_serve_newsletter,false,
L1719,tier1,sales_queue,false,
L2592,tier2,nurture,false,
L1985,tier2,nurture,false,
L2455,tier2,nurture,false,
L2089,tier3,self_serve_newsletter,false,
L1393,tier2,nurture,false,
L1467,tier2,nurture,false,
L1413,tier3,human_review,true,missing job title
L1089,tier2,nurture,false,
L1398,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1890,tier3,human_review,true,missing job title
L1075,tier1,sales_queue,false,
L2161,tier2,nurture,false,
L1781,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1238,tier3,self_serve_newsletter,false,
L2317,tier3,human_review,true,EU / Consent Verification Needed
L2662,tier3,human_review,true,missing job title
L2497,tier1,sales_queue,false,
L2139,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1779,tier2,nurture,false,
L2365,tier3,human_review,true,missing job title
L1957,tier2,nurture,false,
L1814,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1835,tier2,human_review,true,Score divergence: deterministic vs. probabilistic
L1830,tier3,self_serve_newsletter,false,
L2361,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1131,tier3,self_serve_newsletter,false,
L1102,tier2,nurture,false,
L2655,tier2,nurture,false,
L2243,tier2,nurture,false,
L2867,tier2,human_review,true,Duplicate record with conflicting fields
L2537,tier2,nurture,false,
L1756,tier2,nurture,false,
L2550,tier3,self_serve_newsletter,false,
L1944,tier3,self_serve_newsletter,false,
L2721,tier1,sales_queue,false,
L2249,tier2,human_review,true,technical IC title but company/industry unverifiable
L2629,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1707,tier2,nurture,false,
L1177,tier3,self_serve_newsletter,false,
L2041,tier3,human_review,true,Duplicate record with conflicting fields
L2179,tier3,self_serve_newsletter,false,
L1816,tier3,self_serve_newsletter,false,
L1772,tier3,self_serve_newsletter,false,
L1883,tier2,human_review,true,decision-maker title but company missing or unverifiable | Score divergence: deterministic vs. probabilistic
L1502,tier3,self_serve_newsletter,false,
L1840,tier3,self_serve_newsletter,false,
L2412,tier2,human_review,true,technical IC title but company/industry unverifiable | Score divergence: deterministic vs. probabilistic
L1165,tier2,human_review,true,ambiguous title defaults to Tier 2 for human review
L1882,tier3,self_serve_newsletter,false,
L2095,tier3,self_serve_newsletter,false,
L2463,tier2,nurture,false,
L1305,tier2,human_review,true,technical IC title but company/industry unverifiable
L2637,tier2,nurture,false,
L2086,tier2,nurture,false,
L1213,tier2,nurture,false,
L2727,tier3,human_review,true,missing job title
L1253,tier3,self_serve_newsletter,false,
L1366,tier1,sales_queue,false,
L1741,tier3,self_serve_newsletter,false,
L1132,tier2,human_review,true,decision-maker title but company missing or unverifiable
L2212,tier2,human_review,true,EU / Consent Verification Needed
L1641,tier2,nurture,false,
L2499,tier3,self_serve_newsletter,false,
L1521,tier2,human_review,true,Score divergence: deterministic vs. probabilistic
L2690,tier1,human_review,true,personal email but Tier-1 title and company signals | Score divergence: deterministic vs. probabilistic
L2712,tier2,nurture,false,
L2897,suppress,suppressed,false,
L1860,tier3,self_serve_newsletter,false,
L2093,tier3,self_serve_newsletter,false,
L1223,tier1,sales_queue,false,
L2223,tier2,human_review,true,"decision-maker title, technical company, but company size unverifiable | Duplicate record with conflicting fields"
L2320,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1364,tier1,sales_queue,false,
L2901,tier3,self_serve_newsletter,false,
L1486,tier3,self_serve_newsletter,false,
L1081,tier3,self_serve_newsletter,false,
L1587,tier2,nurture,false,
L1845,tier2,nurture,false,
L1958,tier2,human_review,true,decision-maker title but company missing or unverifiable
L2343,tier3,self_serve_newsletter,false,
L1179,tier3,self_serve_newsletter,false,
L1877,tier3,self_serve_newsletter,false,
L2208,tier3,self_serve_newsletter,false,
L2180,tier3,human_review,true,missing job title
L1033,tier2,nurture,false,
L2470,tier2,nurture,false,
L1443,tier2,human_review,true,EU / Consent Verification Needed | decision-maker title but company missing or unverifiable
L1307,tier1,sales_queue,false,
L2044,tier3,self_serve_newsletter,false,
L2111,tier3,self_serve_newsletter,false,
L2830,tier3,self_serve_newsletter,false,
L1012,tier3,self_serve_newsletter,false,
L1501,tier3,self_serve_newsletter,false,
L2597,tier3,self_serve_newsletter,false,
L2881,tier2,human_review,true,ambiguous title defaults to Tier 2 for human review
L1854,tier3,self_serve_newsletter,false,
L2097,tier2,human_review,true,technical IC title but company/industry unverifiable
L1315,suppress,suppressed,false,
L2091,tier3,self_serve_newsletter,false,
L1678,tier3,self_serve_newsletter,false,
L1615,tier2,nurture,false,
L1974,tier3,self_serve_newsletter,false,
L2024,tier2,nurture,false,
L1802,tier3,self_serve_newsletter,false,
L1703,tier2,nurture,false,
L1939,tier1,sales_queue,false,
L2222,tier3,self_serve_newsletter,false,
L1134,tier3,self_serve_newsletter,false,
L1212,tier3,self_serve_newsletter,false,
L1093,tier3,self_serve_newsletter,false,
L2214,tier1,human_review,true,personal email but Tier-1 title and company signals
L2445,tier2,nurture,false,
L2565,tier2,nurture,false,
L2389,tier3,human_review,true,missing job title
L2129,tier2,nurture,false,
L2259,tier1,sales_queue,false,
L1128,tier2,nurture,false,
L1510,tier3,human_review,true,EU / Consent Verification Needed | Score divergence: deterministic vs. probabilistic
L1684,tier2,nurture,false,
L2671,tier2,human_review,true,decision-maker title but company missing or unverifiable
L2590,tier2,nurture,false,
L2160,tier3,self_serve_newsletter,false,
L1909,tier2,human_review,true,technical IC title but company/industry unverifiable
L1119,tier1,human_review,true,EU / Consent Verification Needed | personal email but Tier-1 title and company signals
L1233,tier3,self_serve_newsletter,false,
L1613,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1384,tier3,self_serve_newsletter,false,
L2856,tier3,human_review,true,Duplicate record with conflicting fields
L1745,tier3,human_review,true,Score divergence: deterministic vs. probabilistic
L1429,tier1,sales_queue,false,
L1142,tier2,human_review,true,ambiguous title defaults to Tier 2 for human review
L2375,tier3,human_review,true,missing job title | Score divergence: deterministic vs. probabilistic
L1875,tier2,nurture,false,
L1989,tier3,human_review,true,missing job title
L1986,tier2,nurture,false,
L1003,tier2,nurture,false,
L2300,tier2,nurture,false,
L2518,tier3,self_serve_newsletter,false,
L1478,tier2,human_review,true,technical IC title but company/industry unverifiable
L1340,tier3,self_serve_newsletter,false,
L1052,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1905,tier2,nurture,false,
L1884,tier2,human_review,true,ambiguous title defaults to Tier 2 for human review | Duplicate record with conflicting fields
L2530,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1146,tier2,nurture,false,
L2461,tier1,sales_queue,false,
L1967,tier2,human_review,true,technical IC title but company/industry unverifiable
L1584,tier2,human_review,true,Score divergence: deterministic vs. probabilistic
L1283,tier2,nurture,false,
L1161,tier3,self_serve_newsletter,false,
L1639,tier2,human_review,true,decision-maker title but company missing or unverifiable
L1591,tier3,self_serve_newsletter,false,
L1324,tier2,nurture,false,
L2532,tier3,human_review,true,missing job title
L1309,tier3,self_serve_newsletter,false,
L1260,tier3,self_serve_newsletter,false,
L2665,tier3,self_serve_newsletter,false,
L2399,tier2,nurture,false,
L1915,tier2,nurture,false,
L2433,tier3,human_review,true,EU / Consent Verification Needed
L1676,tier3,human_review,true,missing job title | Score divergence: deterministic vs. probabilistic
L1947,tier1,sales_queue,false,
L1150,tier1,sales_queue,false,
L2474,tier2,human_review,true,decision-maker title but company missing or unverifiable
L2277,tier2,human_review,true,technical IC title but company/industry unverifiable
L1785,tier1,human_review,true,EU / Consent Verification Needed
L1396,tier3,self_serve_newsletter,false,
L1520,tier1,sales_queue,false,
L1338,tier3,human_review,true,missing job title
L1264,tier2,nurture,false,
L2405,tier3,self_serve_newsletter,false,
L1893,tier2,human_review,true,technical IC title but company/industry unverifiable
L1643,tier2,human_review,true,"decision-maker title, technical company, but company size unverifiable"
L1156,tier3,self_serve_newsletter,false,
L1651,tier2,human_review,true,ambiguous title defaults to Tier 2 for human review
L2796,tier3,self_serve_newsletter,false,
L2763,tier3,self_serve_newsletter,false,
L2483,tier2,nurture,false,
L1436,tier2,nurture,false,
L2559,tier2,human_review,true,"decision-maker title, technical company, but company size unverifiable"
L1082,tier3,self_serve_newsletter,false,
L2621,tier2,nurture,false,
L2386,tier1,sales_queue,false,
L2380,tier2,nurture,false,
L1872,tier2,nurture,false,
L2035,tier2,human_review,true,technical IC title but company/industry unverifiable | Score divergence: deterministic vs. probabilistic
L2680,tier1,sales_queue,false,
L2648,tier2,human_review,true,technical IC title but company/industry unverifiable
L1447,tier3,self_serve_newsletter,false,
L1475,tier3,self_serve_newsletter,false,
L1392,tier2,nurture,false,
L1954,tier2,nurture,false,
L1115,tier2,human_review,true,Score divergence: deterministic vs. probabilistic
